"state","region","division","region_code","region_name"
"AL","South","East South Central","C01001","Autauga County, AL"
"AL","South","East South Central","C01003","Baldwin County, AL"
"AL","South","East South Central","C01005","Barbour County, AL"
"AL","South","East South Central","C01007","Bibb County, AL"
"AL","South","East South Central","C01009","Blount County, AL"
"AL","South","East South Central","C01011","Bullock County, AL"
"AL","South","East South Central","C01013","Butler County, AL"
"AL","South","East South Central","C01015","Calhoun County, AL"
"AL","South","East South Central","C01017","Chambers County, AL"
"AL","South","East South Central","C01019","Cherokee County, AL"
"AL","South","East South Central","C01021","Chilton County, AL"
"AL","South","East South Central","C01023","Choctaw County, AL"
"AL","South","East South Central","C01025","Clarke County, AL"
"AL","South","East South Central","C01027","Clay County, AL"
"AL","South","East South Central","C01029","Cleburne County, AL"
"AL","South","East South Central","C01031","Coffee County, AL"
"AL","South","East South Central","C01033","Colbert County, AL"
"AL","South","East South Central","C01035","Conecuh County, AL"
"AL","South","East South Central","C01037","Coosa County, AL"
"AL","South","East South Central","C01039","Covington County, AL"
"AL","South","East South Central","C01041","Crenshaw County, AL"
"AL","South","East South Central","C01043","Cullman County, AL"
"AL","South","East South Central","C01045","Dale County, AL"
"AL","South","East South Central","C01047","Dallas County, AL"
"AL","South","East South Central","C01049","DeKalb County, AL"
"AL","South","East South Central","C01051","Elmore County, AL"
"AL","South","East South Central","C01053","Escambia County, AL"
"AL","South","East South Central","C01055","Etowah County, AL"
"AL","South","East South Central","C01057","Fayette County, AL"
"AL","South","East South Central","C01059","Franklin County, AL"
"AL","South","East South Central","C01061","Geneva County, AL"
"AL","South","East South Central","C01063","Greene County, AL"
"AL","South","East South Central","C01065","Hale County, AL"
"AL","South","East South Central","C01067","Henry County, AL"
"AL","South","East South Central","C01069","Houston County, AL"
"AL","South","East South Central","C01071","Jackson County, AL"
"AL","South","East South Central","C01073","Jefferson County, AL"
"AL","South","East South Central","C01075","Lamar County, AL"
"AL","South","East South Central","C01077","Lauderdale County, AL"
"AL","South","East South Central","C01079","Lawrence County, AL"
"AL","South","East South Central","C01081","Lee County, AL"
"AL","South","East South Central","C01083","Limestone County, AL"
"AL","South","East South Central","C01085","Lowndes County, AL"
"AL","South","East South Central","C01087","Macon County, AL"
"AL","South","East South Central","C01089","Madison County, AL"
"AL","South","East South Central","C01091","Marengo County, AL"
"AL","South","East South Central","C01093","Marion County, AL"
"AL","South","East South Central","C01095","Marshall County, AL"
"AL","South","East South Central","C01097","Mobile County, AL"
"AL","South","East South Central","C01099","Monroe County, AL"
"AL","South","East South Central","C01101","Montgomery County, AL"
"AL","South","East South Central","C01103","Morgan County, AL"
"AL","South","East South Central","C01105","Perry County, AL"
"AL","South","East South Central","C01107","Pickens County, AL"
"AL","South","East South Central","C01109","Pike County, AL"
"AL","South","East South Central","C01111","Randolph County, AL"
"AL","South","East South Central","C01113","Russell County, AL"
"AL","South","East South Central","C01117","Shelby County, AL"
"AL","South","East South Central","C01115","St. Clair County, AL"
"AL","South","East South Central","C01119","Sumter County, AL"
"AL","South","East South Central","C01121","Talladega County, AL"
"AL","South","East South Central","C01123","Tallapoosa County, AL"
"AL","South","East South Central","C01125","Tuscaloosa County, AL"
"AL","South","East South Central","C01127","Walker County, AL"
"AL","South","East South Central","C01129","Washington County, AL"
"AL","South","East South Central","C01131","Wilcox County, AL"
"AL","South","East South Central","C01133","Winston County, AL"
"AK","West","Pacific","C02013","Aleutians East Borough, AK"
"AK","West","Pacific","C02016","Aleutians West CA, AK"
"AK","West","Pacific","C02020","Anchorage Muny, AK"
"AK","West","Pacific","C02050","Bethel CA, AK"
"AK","West","Pacific","C02060","Bristol Bay Borough, AK"
"AK","West","Pacific","C02068","Denali Borough, AK"
"AK","West","Pacific","C02070","Dillingham CA, AK"
"AK","West","Pacific","C02090","Fairbanks North Star Borough, AK"
"AK","West","Pacific","C02100","Haines Borough, AK"
"AK","West","Pacific","C02110","Juneau Cty&Bor, AK"
"AK","West","Pacific","C02122","Kenai Peninsula Borough, AK"
"AK","West","Pacific","C02130","Ketchikan Gateway Borough, AK"
"AK","West","Pacific","C02150","Kodiak Island Borough, AK"
"AK","West","Pacific","C02270","Kusilvak CA, AK"
"AK","West","Pacific","C02164","Lake and Peninsula Borough, AK"
"AK","West","Pacific","C02170","Matanuska-Susitna Borough, AK"
"AK","West","Pacific","C02180","Nome CA, AK"
"AK","West","Pacific","C02185","North Slope Borough, AK"
"AK","West","Pacific","C02188","Northwest Arctic Borough, AK"
"AK","West","Pacific","C02220","Sitka Cty&Bor, AK"
"AK","West","Pacific","C02240","Southeast Fairbanks CA, AK"
"AK","West","Pacific","C02261","Valdez-Cordova CA, AK"
"AK","West","Pacific","C02290","Yukon-Koyukuk CA, AK"
"AZ","West","Mountain","C04001","Apache County, AZ"
"AZ","West","Mountain","C04003","Cochise County, AZ"
